task_id,bucket_id,name,description,status,project_id,assigned_user_id
00000534-978f-4c7a-b5a2-aa6e11f4995f,6902,Create New Logo,Design a new logo for the website.,Not Started,ae8608f4-5938-42ce-9eb6-25b5bcc75afa,0bea8165-d920-4f5d-9e85-447a5a08370b
0000064e-0b43-4b50-9313-6e6de2e32fb1,5524,Create New Logo,Design a new logo for the website.,Not Started,e3aa105d-f476-4d46-9bf5-b636e3779868,f2cbf894-0d9d-48d7-b4d8-8b4341fe2942
00006432-37fd-4c7f-99aa-1bbf42cdbcb2,11350,Create New Logo,Design a new logo for the website.,Not Started,46b1a887-c3fc-44e2-a3e4-85a3da24584b,287c2be3-9bb2-4c92-85ec-1cceae5ede1a
0000abfc-4b83-4c76-9bc8-e7ff45448a6c,11145,Create New Logo,Design a new logo for the website.,Not Started,6e488845-a4d6-4e15-a386-e2bfbcda6f0e,8ce1a757-93dd-465a-b4b7-ae872316b940
0000d099-4f53-43cc-ae48-99711d622bb1,13282,Create New Logo,Design a new logo for the website.,Not Started,0453069f-ced6-4fa2-b562-a645032339a7,0c3a2afd-6742-4969-8b9d-7abb2f16da62
000123c5-8f0e-4dc4-a998-fca3d0e15949,11828,Create New Logo,Design a new logo for the website.,Not Started,b7875c73-dd6b-4a0c-b584-ddb156286a82,58101afe-63ae-40a7-b10d-862a9a578279
00017a16-6302-4fae-b203-a7be6396a61a,8319,Create New Logo,Design a new logo for the website.,Not Started,84cb6960-f115-4e62-b533-d874a47293b0,18792f1c-1d95-4ce2-af95-86a9d382e064
0001a306-3766-4db1-9be1-29900d035369,7830,Create New Logo,Design a new logo for the website.,Not Started,9eae67b2-b6e0-4dd7-ac67-b85923bb38ea,04ef4d0d-a592-4330-b4c5-bda7776eb790
0001a35a-4b25-41b2-aa71-ac93d990d703,13346,Create New Logo,Design a new logo for the website.,Not Started,e64f6b94-b25a-41ea-9183-5cf9f48f551a,03a18376-31a9-4b9a-bd1c-ee57f18cdd40
0001c3fd-fcab-4e84-a457-84609b23b137,12673,Create New Logo,Design a new logo for the website.,Not Started,30fa4a1f-d2cf-4949-804c-cc4bc63cb90b,cf6c01fc-fd21-4b00-a2f9-e4fc6197f67e
0001c476-06d4-4afe-8c5a-23bbd0b1fca8,2583,Create New Logo,Design a new logo for the website.,Not Started,ffaa955c-c984-4020-9c76-0a4f039f41f3,ed5db571-5521-4181-a984-7c01153e2d8c
0001c977-5dd5-494c-8031-bc46a9f4d891,11242,Create New Logo,Design a new logo for the website.,Not Started,4e07d311-3033-445b-9ac3-97be67f5e74c,35ae2a7e-c2e8-4c01-ab14-6c3a24de7bc5
0001ec93-43fc-4b32-8805-ace8c497fcf9,9394,Create New Logo,Design a new logo for the website.,Not Started,d5c84060-c17e-4ba8-98e9-d31eb66a8ef8,bd383198-4c4f-456a-8bf2-13eb4a5ee9c6
000206b3-4935-4440-9940-374c4fc987c9,243,Create New Logo,Design a new logo for the website.,Not Started,44bdad22-f586-44b6-8e0a-424c941b99f7,c3d66367-8023-415d-9b72-5c59eb0ff135
0002178d-53b0-4cb1-83f4-6eb76eeaa4b3,3464,Create New Logo,Design a new logo for the website.,Not Started,6fb6bf6e-bb9b-4864-81d2-86ba96dde0ae,f2f03fc3-2a23-49c2-98b1-ab4f48afd807
00022ab5-adea-4153-86ba-25ff0d3e9e1c,8147,Create New Logo,Design a new logo for the website.,Not Started,ca1769b7-bf6c-42a7-96b1-61553164c5a7,d197b74e-a88e-47a5-90e9-6e71890a5881
00027fc4-0286-4c77-8872-5a51da4aab62,2712,Create New Logo,Design a new logo for the website.,Not Started,dad83e8b-de53-4295-9167-a834a3195c01,c3022f19-fec5-4143-8f77-6c936ec4c592
0002ea12-cee4-41ee-a820-cc1a9b77cbdf,5665,Create New Logo,Design a new logo for the website.,Not Started,d3e9e104-ace6-4524-98f1-aa047be6b9b3,2ec904b4-d6ac-43b8-b92a-c762479d81a7
0002f8c7-4497-4bbc-a716-f39715c22ca2,11408,Create New Logo,Design a new logo for the website.,Not Started,e8da45b8-9920-42b6-b4df-a22efa5e62f1,5ace5e42-9a36-427e-8963-5a3531fc33c8
00033718-c44c-4629-8e0b-7db2da2e824f,2786,Create New Logo,Design a new logo for the website.,Not Started,227aae12-3e4a-4d9d-8cb7-314d7b5b6969,b5713fef-14cc-4c5e-89cd-327bc02e3c0b
0003379b-6d17-492d-93aa-c8dc8069015f,10839,Create New Logo,Design a new logo for the website.,Not Started,d2293af2-e215-4095-93ab-3b11c5001df9,17a6a25e-b0d5-446d-91c7-1056b85a3247
00033b33-f982-41d7-8b8b-6278e7501a9b,4180,Create New Logo,Design a new logo for the website.,Not Started,c36b1c49-4e2b-41e5-94e8-4fe53663c00e,2ec4b3bf-a60e-4469-8d16-3e12df4497a6
00035145-631c-4513-bb82-d7f1140bf583,312,Create New Logo,Design a new logo for the website.,Not Started,a1930c49-f113-48b0-a169-5f80d0de74a3,1bca855b-e6c0-41a3-8cc5-68f8d4646b55
00036ab0-6a58-4d5f-ad06-d9c68d89b11c,7312,Create New Logo,Design a new logo for the website.,Not Started,7a38f2d6-12ec-4dc8-b87e-6aaf1ad245a1,3c2c743b-81b1-4e22-b26d-9e67cbceb689
0003c4f8-2584-475a-8378-14ccb2873bbb,759,Create New Logo,Design a new logo for the website.,Not Started,27d2a297-10dc-470b-b0de-c86f376d05fb,08bcf196-bd93-4f79-aceb-0af7028a82ed
0003fe5f-12e8-4a86-8e52-cb9e731e5d27,10861,Create New Logo,Design a new logo for the website.,Not Started,4874fcaf-cb57-43af-ab28-b749925ba95e,a72278e2-53b9-4586-8973-87da7e76e8d3
00040894-8ac6-4b60-aa3d-8aec3c5a73e4,14288,Create New Logo,Design a new logo for the website.,Not Started,8914c8cb-d043-4ff6-a246-bd2bd29bb5db,44d36f0b-5444-4ee7-a6df-f4a5046cb36f
00040d07-20b0-4716-b012-95e9a216b459,12882,Create New Logo,Design a new logo for the website.,Not Started,a060e180-fdb5-4325-8e0e-6ca2316182c9,bf15ed41-3198-4443-b76c-e6dd75d7d400
00042b64-bb02-4bf9-998a-2c2c8ad7d298,5721,Create New Logo,Design a new logo for the website.,Not Started,490e9165-e452-451d-be03-fefa6b58d10d,a5f922c0-86a1-4b04-aac7-53a0e4dab0d3
00044623-70d8-4b78-a09d-22db7cccbce3,12956,Create New Logo,Design a new logo for the website.,Not Started,80c8dd7b-973c-4585-890b-6ab6191a1465,5cc91f83-8256-4831-a551-b243d3994a22
0004579d-4f6a-4215-abd6-a0ee66d740de,14314,Create New Logo,Design a new logo for the website.,Not Started,c8ab5627-23cc-4ee6-8f30-de7ce95af6c1,de3cf7d9-7920-4ec4-a2ba-93280b7bbb23
0004bfec-0392-41d6-905f-3a597c3a4c13,10817,Create New Logo,Design a new logo for the website.,Not Started,22f07214-a42d-465c-a068-ef421b8a099c,eaefcfda-4e73-4b78-8049-e4878ed41236
0004c627-55de-46e4-bcf3-f2f91ebe539d,13872,Create New Logo,Design a new logo for the website.,Not Started,6170e9fc-ed02-4105-ab96-9a4a6998039f,bd47c3f4-c852-43cd-ba67-f9c4f4764689
0004fb40-5e12-4deb-b313-e115a2a110cc,8795,Create New Logo,Design a new logo for the website.,Not Started,9125fa3c-06c8-4364-9009-7260e6b63b3c,f1d94291-aaae-467a-b523-af9baea318cd
000514aa-edc2-48b1-a3ea-cd85c8d05bb1,6408,Create New Logo,Design a new logo for the website.,Not Started,27001f4b-9c9b-4ccc-b72f-256bc5feb938,db767008-b5fd-4390-8dd0-63343c840731
00052a9d-c5c3-4098-8ee0-4f8ad0e68c3a,10858,Create New Logo,Design a new logo for the website.,Not Started,64751235-8a37-49b4-a887-c3328b0cbb7a,e91c2d78-eed6-4b22-8f56-2650aec03895
00052df2-7df3-401e-a6a0-8ce304ed93c8,8387,Create New Logo,Design a new logo for the website.,Not Started,f7e1b9b9-e8f3-486d-af51-02259f561132,16d7b67d-3b4d-482a-94e4-fa5618691bd1
0005405f-8c66-4bb3-8141-37d8930523fd,8700,Create New Logo,Design a new logo for the website.,Not Started,d55278f2-150b-4b94-ad0b-ddf240ce1d0d,c5d2f908-39ed-44fa-a6ce-c0ca99f92b5d
00054f38-9e66-4397-8ad1-21bfd4bb3e30,8631,Create New Logo,Design a new logo for the website.,Not Started,59de6814-983b-4051-90b0-15089c5f24ce,70e47794-93a6-4dd9-872e-903c50785a29
000577cf-f6e4-4435-8bc1-ff04ba3571c6,4033,Create New Logo,Design a new logo for the website.,Not Started,7c94e53f-fccf-4cbc-9044-d48f576a718e,a25b5f1f-38b8-4b32-b4ad-b4322ce3c415
00058458-82a3-4e9d-b177-6631a8e6fc1a,12422,Create New Logo,Design a new logo for the website.,Not Started,1e3e9d7c-64a8-467a-aa45-aeb3ce2491bf,5113f9f2-990d-4342-a0b3-b4b8960d37fb
0005c899-9c43-423a-b522-e46408a42697,8194,Create New Logo,Design a new logo for the website.,Not Started,90f164bc-fc70-4ffa-929c-af5c1e81e627,fa7d4a01-9c45-48cb-bdd7-3c1ed577472b
0005cdb8-ff32-448f-9ac0-f7484a133441,4814,Create New Logo,Design a new logo for the website.,Not Started,0b56a670-f1a6-46ea-ad77-ecab9a766794,9c3efc63-c2e5-4299-9c78-3762687f2261
0005f85a-72b8-4255-b149-7cb9882ff442,8089,Create New Logo,Design a new logo for the website.,Not Started,8514d92c-7d64-486b-b6f9-122b56d33be9,05fcb0e0-7912-44a5-8690-b5cf1069a355
00063db2-b123-493c-8a84-da6326640b1f,2045,Create New Logo,Design a new logo for the website.,Not Started,c13ac1d4-ce4b-4345-a7c2-2a176722780d,86dd23a5-92d6-4384-b06b-9f92beda72db
0006c18d-bad7-45d8-9403-205f4860808c,10346,Create New Logo,Design a new logo for the website.,Not Started,43f957ec-4d7c-462e-820a-39c080c2826d,808ccb24-2b66-46d0-84fc-8843e099ba2b
0006eed9-506c-4715-b76b-0fd85692aed4,13863,Create New Logo,Design a new logo for the website.,Not Started,e76d6666-22af-4d5e-b992-af1689d8168d,2f14d07a-bbbb-4690-8e59-26a1b70388d5
00070f98-e4b3-4c39-8619-5bd276f8ab79,6386,Create New Logo,Design a new logo for the website.,Not Started,d2063de0-e19b-4684-a8d1-6b7363a4bfbf,690b436f-41fe-4dfe-9d2f-011c0909c745
